camera_type,scientificName,cameraheight,major_axis_mod,minor_axis,profile,profile_se,contact_species,sum_effortday_all,species_traprate,effort_cameraheight,effort_cameraheight_cameratype,contact_species_cameraheight,contact_species_camereaheight_cameratype,hmean_speed,hmean_speed_se,groupsize_speed,activity_level,al_se,groupsize_al,profile_km,profile_se_km,hspeed_kmd,hspeed_se_kmd,group_size,group_size_se
Browning,Elephas maximus,7.15,2.66648434454719,0.98115437977511,3.84505716115066,0.519000395927454,233,32144,0.0072486311597809855,843,843,2,2,0.309954549479341,0.0392365459256358,135,0.330787652,0.004914778,6492,0.00384505716115066,5.19000395927454e-4,26.78007307501506,3.3900375679749337,1.49,0.11
Browning,Axis porcinus,7.15,1.75577322765706,0.646050893090897,2.53181626067481,0.518386355978126,246,32144,0.007653061224489796,843,843,5,5,0.0923236812995088,0.0108363138147693,193,0.5685436,0.01427842,2643,0.00253181626067481,5.18386355978126e-4,7.976766064277561,0.9362575135960677,1.11,0.03
Browning,Macaca mulatta,7.15,1.72690560211126,0.635428817886937,2.49018928823177,0.531669432562768,1927,32144,0.05994897959183673,843,843,22,22,0.292909729355131,0.0373452794577637,175,0.381303675,0.004671368,18150,0.00249018928823177,5.31669432562768e-4,25.30740061628332,3.226632145150784,1.8,0.05
Browning,Rusa unicolor,7.15,1.83411312772723,0.674876689957912,2.64478200689591,0.498390629570444,587,32144,0.018261572921851668,843,843,31,31,0.176947887479306,0.0219802864935112,158,0.410938726,0.005960006,7608,0.0026447820068959097,4.98390629570444e-4,15.28829747821204,1.8990967530393676,1.21,0.03
Browning,Muntiacus muntjak,7.15,1.74081467905928,0.640546774718029,2.51024610800397,0.514345685326205,709,32144,0.022056993529118964,843,843,17,17,0.173213457090348,0.017168192789103,203,0.32769603,0.007022684,5456,0.00251024610800397,5.14345685326205e-4,14.965642692606067,1.4833318569784992,1.08,0.01
Browning,Axis axis,7.15,1.77680362372222,0.653789196617761,2.56214198719091,0.516132467840312,23308,32144,0.7251119960179193,843,843,527,527,0.0857874252848385,0.00815725494581298,312,0.406569211,0.002412088,273000,0.0025621419871909097,5.161324678403119e-4,7.412033544610047,0.7047868273182415,2.14,0.02
Browning,Semnopithecus schistaceus,7.15,1.74213622124652,0.641033046804238,2.51215176526432,0.537643263006951,1144,32144,0.03558984569437531,843,843,13,13,0.151422949066886,0.0303433099240522,127,0.219931391,0.003305612,13533,0.00251215176526432,5.376432630069509e-4,13.082942799378952,2.6216619774381105,1.66,0.06
Browning,Panthera tigris,7.15,1.826144938004,0.671944730405323,2.63329191695056,0.514096429573464,436,32144,0.013563962170233947,843,843,5,5,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.00263329191695056,5.140964295734641e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Hystrix indica,7.15,1.73740461447404,0.639292014002868,2.50532881183447,0.505808428266697,117,32144,0.003639870582379293,843,843,1,1,0.307255554546782,0.0643277239544729,104,0.24988632,0.01686318,624,0.0025053288118344697,5.05808428266697e-4,26.546879912841966,5.55791534966646,1.25,0.04
Browning,Sus scrofa,7.15,1.79624844208514,0.660944074065185,2.59018131854738,0.545040387063977,630,32144,0.0195993031358885,843,843,15,15,0.173376753031161,0.0226236625590061,171,0.48009288,0.01292758,5447,0.00259018131854738,5.450403870639769e-4,14.979751461892313,1.9546844450981273,1.67,0.07
Browning,Axis axis,7.6,1.91101990374829,0.70317515729441,2.75568119536687,0.5318387375752,23308,32144,0.7251119960179193,740,740,1840,1840,0.0857874252848385,0.00815725494581298,312,0.406569211,0.002412088,273000,0.0027556811953668697,5.318387375752e-4,7.412033544610047,0.7047868273182415,2.14,0.02
