"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"302","Browning","Semnopithecus schistaceus",7.1,1.72809707430311,0.635867229671279,3.00989283416253,0.61305951698264
"311","Browning","Axis axis",7.8,1.97388166135929,0.726305647044524,3.43798525925173,0.618178199951365
"317","Browning","Rusa unicolor",7.8,2.03754777362222,0.749732105563874,3.54887496442438,0.638899846604831
"320","Browning","Elephas maximus",7.8,2.96224325397154,1.08998125135702,5.15945248432921,0.625206462585146
"327","Browning","Elephas maximus",7.7,2.91469266611471,1.07248462977287,5.07663180499427,0.652210150100865
"328","Browning","Semnopithecus schistaceus",7.7,1.90430207393635,0.700703277736576,3.3167958279967,0.609991762551238
"329","Browning","Axis axis",7.7,1.94219647371252,0.714646827184135,3.38279795486633,0.623982720990951
"339","Browning","Panthera tigris",7.7,1.99613069881595,0.734492359481453,3.47673725958992,0.634776591500952
"342","Browning","Sus scrofa",7.4,1.87040770019059,0.688231570067114,3.25776069960443,0.63822496107131
"343","Browning","Muntiacus muntjak",7.4,1.81268531904061,0.66699215525781,3.15722341846576,0.636391544479437
"345","Browning","Hystrix indica",7.4,1.80913446777251,0.665685590949362,3.15103876486849,0.59472587443717
"359","Browning","Macaca mulatta",7.4,1.79820199701422,0.661662900327458,3.13199726200133,0.623027520954507
"360","Browning","Semnopithecus schistaceus",7.4,1.81406142193663,0.667498503396031,3.15962022956359,0.580193701077802
"378","Browning","Muntiacus muntjak",7.7,1.90285751667541,0.700171741263726,3.31427978731073,0.599946307602632
"385","Browning","Axis axis",7.55,1.89561979386406,0.697508562891623,3.30167356839545,0.636555538002127
"386","Browning","Semnopithecus schistaceus",7.55,1.85863415658969,0.683899399922136,3.23725426796699,0.600998615791126
"390","Browning","Semnopithecus schistaceus",7.5,1.843656201525,0.678388140783546,3.21116659020283,0.616644213079349
"404","Browning","Muntiacus muntjak",7.1,1.72678618187147,0.63538487624837,3.00760960262708,0.667931434040286
"409","Browning","Semnopithecus schistaceus",7.45,1.8287989475338,0.67292129457659,3.18528914211938,0.601760940129748
"410","Browning","Macaca mulatta",7.45,1.8128106798512,0.667038282777222,3.15744176418898,0.598412774915776
"411","Browning","Axis axis",7.45,1.86519088312878,0.686312000233845,3.24867436960309,0.637294427040847
"412","Browning","Rusa unicolor",7.45,1.92535125367263,0.708448492866435,3.35345799020698,0.6400260756525
"423","Browning","Hystrix indica",7.45,1.82383196654797,0.671093653938656,3.17663796117648,0.609789504767257
"430","Browning","Rusa unicolor",7.1,1.81933277737519,0.66943814106406,3.16880155114371,0.639002220463749
"432","Browning","Semnopithecus schistaceus",6.5,1.56819631669151,0.57703045870699,2.73138756286206,0.628410585092288
"433","Browning","Rusa unicolor",6.5,1.6509899835728,0.607495054924981,2.8755924622081,0.622772710095569
"434","Browning","Hystrix indica",6.5,1.56393712718488,0.575463255641552,2.72396916943616,0.625322205199798
"435","Browning","Axis axis",6.5,1.59940242572514,0.588512997735091,2.78574043768554,0.648190236185324
"447","Browning","Axis porcinus",4.5,1.14347776310617,0.42075184793091,1.99163899781812,0.609856330374725
"452","Browning","Elephas maximus",7.25,2.70998563700533,0.997161030520489,4.72008573522705,0.608623354363609
"454","Browning","Axis axis",7.25,1.80579057586176,0.664455179002471,3.1452145803073,0.639664022027173
"469","Browning","Panthera tigris",8.1,2.12961343239965,0.783608405839583,3.70922924703226,0.586283805686299
"473","Browning","Elephas maximus",8.1,3.10960031663085,1.14420246878687,5.41610992189843,0.640864139175322
"510","Browning","Macaca mulatta",7.5,1.8275380443572,0.672457335102487,3.18309297878325,0.614330117663811
"521","Browning","Axis axis",7.3,1.82046090869232,0.669853246063654,3.17076646064903,0.645388093798942
"522","Browning","Hystrix indica",7.3,1.78009383873595,0.654999857718295,3.10045758946087,0.631246130770877
"523","Browning","Panthera tigris",7.3,1.87101457294325,0.68845487378178,3.25881771311173,0.611841236355667
"565","Browning","Muntiacus muntjak",8.4,2.13109066402684,0.78415196510852,3.71180219791284,0.583417125962408
"566","Browning","Semnopithecus schistaceus",8.4,2.13270848483868,0.784747255299694,3.71462001835877,0.603804454400244
"578","Browning","Panthera tigris",7.16,1.82910248120234,0.673032982233376,3.1858178183306,0.585386081151368
"617","Browning","Macaca mulatta",8.2,2.04673719937163,0.753113428743245,3.56488053906744,0.586570465381326
"621","Browning","Muntiacus muntjak",8.2,2.06322230728003,0.759179256903261,3.59359328264054,0.639227007361112
"634","Browning","Muntiacus muntjak",7.08,1.72120648811977,0.633331783015898,2.99789123640229,0.63806656957
"654","Browning","Panthera tigris",7.75,2.01234736431214,0.740459412094933,3.50498244673641,0.609781941429251
"655","Browning","Rusa unicolor",7.75,2.02112802857058,0.743690328193176,3.52027606584131,0.622131930295993
"659","Browning","Hystrix indica",7.75,1.9145586551865,0.704477269373047,3.33466010823123,0.619241917158474
"662","Browning","Muntiacus muntjak",7.8,1.93390092464004,0.711594413123746,3.36834927945336,0.600923084329122
"716","Browning","Canis aureus",7.35,1.79228852991267,0.659486992504033,3.12169754995466,0.637930440911171
"719","Browning","Rusa unicolor",7.35,1.8944450869288,0.697076320018401,3.29962753635288,0.639320511425046
"727","Browning","Hystrix indica",7.5,1.83864886853756,0.676545652301786,3.20244512663386,0.614078658915472
"754","Browning","Hystrix indica",7.2,1.75151937633867,0.644485654254792,3.05068835433597,0.626838845043569
"757","Browning","Canis aureus",7.2,1.74930685932286,0.643671540808064,3.04683472874377,0.603355484108868
