camera_type	scientificName	cameraheight	major_axis_mod	minor_axis	profile	profile_se	contact_species	sum_effortday_all	species_traprate	effort_cameraheight	effort_cameraheight_cameratype	contact_species_cameraheight	contact_species_camereaheight_cameratype	hmean_speed	hmean_speed_se	groupsize_speed	activity_level	al_se	groupsize_al	profile_km	profile_se_km	hspeed_kmd	hspeed_se_kmd	group_size	group_size_se
Browning	Panthera tigris	7.8	2.028695775	0.746474941	2.925369216	0.501762964	436	32144	0.013563962	1731	1279	41	19	0.391365283	0.08185127	188	0.6335	0.02745258	2926	0.002925369	5.02E-04	33.81396049	7.071949768	1.03	0.01
Browning	Sus scrofa	7.8	1.995483244	0.734254123	2.877476912	0.548249701	630	32144	0.019599303	1731	1279	30	29	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.002877477	5.48E-04	14.97975146	1.954684445	1.67	0.07
Browning	Semnopithecus schistaceus	7.8	1.935369049	0.712134621	2.790792541	0.507223393	1144	32144	0.035589846	1731	1279	78	69	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002790793	5.07E-04	13.0829428	2.621661977	1.66	0.06
Browning	Axis axis	7.35	1.835250424	0.675295167	2.646421983	0.507113966	23308	32144	0.725111996	2187	1738	4083	2568	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002646422	5.07E-04	7.412033545	0.704786827	2.14	0.02
Browning	Semnopithecus schistaceus	7.35	1.79944266	0.662119412	2.594787365	0.525006581	1144	32144	0.035589846	2187	1738	137	70	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002594787	5.25E-04	13.0829428	2.621661977	1.66	0.06
Browning	Muntiacus muntjak	7.35	1.798077646	0.661617145	2.592819022	0.530708992	709	32144	0.022056994	2187	1738	78	59	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002592819	5.31E-04	14.96564269	1.483331857	1.08	0.01
Browning	Sus scrofa	7.35	1.855334867	0.6826854	2.675383649	0.520666142	630	32144	0.019599303	2187	1738	60	47	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.002675384	5.21E-04	14.97975146	1.954684445	1.67	0.07
Browning	Macaca mulatta	7.35	1.783711039	0.656330836	2.572102446	0.530324906	1927	32144	0.05994898	2187	1738	115	87	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002572102	5.30E-04	25.30740062	3.226632145	1.8	0.05
Browning	Macaca mulatta	7	1.685491909	0.620190316	2.430470948	0.530729402	1927	32144	0.05994898	598	598	27	27	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002430471	5.31E-04	25.30740062	3.226632145	1.8	0.05
Browning	Semnopithecus schistaceus	7	1.700357276	0.625660147	2.451906733	0.515367407	1144	32144	0.035589846	598	598	36	36	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002451907	5.15E-04	13.0829428	2.621661977	1.66	0.06
Browning	Sus scrofa	7	1.753171807	0.645093679	2.528065025	0.522903019	630	32144	0.019599303	598	598	3	3	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.002528065	5.23E-04	14.97975146	1.954684445	1.67	0.07
Browning	Rusa unicolor	7	1.790128443	0.658692171	2.58135631	0.524764463	587	32144	0.018261573	598	598	15	15	0.176947887	0.021980286	158	0.410938726	0.005960006	7608	0.002581356	5.25E-04	15.28829748	1.899096753	1.21	0.03
Browning	Muntiacus muntjak	7	1.699067426	0.625185537	2.450046777	0.554441107	709	32144	0.022056994	598	598	52	52	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002450047	5.54E-04	14.96564269	1.483331857	1.08	0.01
Browning	Axis axis	7.4	1.85016009	0.680781299	2.667921647	0.548458553	23308	32144	0.725111996	4107	1498	1922	732	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002667922	5.48E-04	7.412033545	0.704786827	2.14	0.02
Browning	Semnopithecus schistaceus	7.2	1.756289423	0.646240831	2.532560612	0.510889771	1144	32144	0.035589846	608	216	56	54	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002532561	5.11E-04	13.0829428	2.621661977	1.66	0.06
Browning	Macaca mulatta	7.2	1.740935069	0.640591073	2.51041971	0.519735972	1927	32144	0.05994898	608	216	59	56	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.00251042	5.20E-04	25.30740062	3.226632145	1.8	0.05
Browning	Axis axis	7.2	1.791238465	0.659100613	2.582956957	0.497011802	23308	32144	0.725111996	608	216	342	216	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002582957	4.97E-04	7.412033545	0.704786827	2.14	0.02
Browning	Muntiacus muntjak	8.1	2.030103004	0.746992743	2.927398433	0.505621948	709	32144	0.022056994	1780	1125	44	37	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002927398	5.06E-04	14.96564269	1.483331857	1.08	0.01
Browning	Macaca mulatta	8.1	2.013882518	0.741024284	2.904008574	0.530035451	1927	32144	0.05994898	1780	1125	40	36	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002904009	5.30E-04	25.30740062	3.226632145	1.8	0.05
Browning	Axis axis	8.1	2.072072586	0.762435788	2.987918362	0.494655799	23308	32144	0.725111996	1780	1125	525	384	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002987918	4.95E-04	7.412033545	0.704786827	2.14	0.02
Browning	Macaca mulatta	7.25	1.755078513	0.645795267	2.530814485	0.536526578	1927	32144	0.05994898	1516	951	34	32	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002530814	5.37E-04	25.30740062	3.226632145	1.8	0.05
Browning	Muntiacus muntjak	7.25	1.769214504	0.650996719	2.551198514	0.522741043	709	32144	0.022056994	1516	951	43	6	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002551199	5.23E-04	14.96564269	1.483331857	1.08	0.01
Browning	Sus scrofa	7.25	1.825552619	0.671726782	2.632437796	0.562474735	630	32144	0.019599303	1516	951	17	12	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.002632438	5.62E-04	14.97975146	1.954684445	1.67	0.07
Browning	Axis porcinus	7.7	1.919208474	0.706188208	2.767489073	0.536538747	246	32144	0.007653061	2048	1247	11	11	0.092323681	0.010836314	193	0.5685436	0.01427842	2643	0.002767489	5.37E-04	7.976766064	0.936257514	1.11	0.03
Browning	Macaca mulatta	7.7	1.88765372	0.694577382	2.721987275	0.510699146	1927	32144	0.05994898	2048	1247	101	90	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002721987	5.11E-04	25.30740062	3.226632145	1.8	0.05
