model	scientificName	height	x_meters	y_meters
Browning	Rhinoceros unicornis	7.5	-2.518906784	-0.427212401
Browning	Macaca mulatta	7.8	-0.518822064	0.329568886
Browning	Panthera tigris	7.8	1.809716413	0.002957704
Browning	Sus scrofa	7.8	2.82925056	1.484948871
Browning	Panthera tigris	7.8	2.192899706	0.373495526
Browning	Semnopithecus schistaceus	7.8	1.313926637	-0.692649094
Browning	Semnopithecus schistaceus	7.8	0.617351013	-0.309507761
Browning	Panthera tigris	7.8	2.674561997	-0.224064262
Browning	Sus scrofa	7.8	1.174098215	0.10701416
Browning	Axis axis	7.35	2.701647992	0.054190285
Browning	Semnopithecus schistaceus	7.35	-0.492647173	-1.63836203
Browning	Axis porcinus	7.35	0.354070946	-0.267020937
Browning	Axis porcinus	7.35	-1.584872664	0.120044097
Browning	Axis porcinus	7.35	0.295391401	-0.035949301
Browning	Muntiacus muntjak	7.35	-1.797837892	-0.75966334
Browning	Axis porcinus	7.35	-1.149407717	-0.053824645
Browning	Axis porcinus	7.35	0.856870504	0.726783298
Browning	Axis porcinus	7.35	-1.543300586	-0.075194418
Browning	Muntiacus muntjak	7.35	-0.560863958	0.12388947
Browning	Axis axis	7.35	-0.560863958	0.12388947
Browning	Sus scrofa	7.35	-0.035425038	-0.266734871
Browning	Axis axis	7.35	-3.678834362	-0.613636168
Browning	Axis axis	7.35	-1.906457756	0.106966392
Browning	Macaca mulatta	7.35	-3.309230527	0.317576445
Browning	Axis porcinus	7.35	-0.586153632	0.188732823
Browning	Axis porcinus	7.35	1.12431782	0.203551865
Browning	Sus scrofa	7.35	-0.875869742	-1.243696619
Browning	Sus scrofa	7.35	1.375269157	0.415846051
Browning	Axis axis	7.35	0.761901909	-0.589807531
Browning	Axis axis	7.35	1.419687312	1.771426468
Browning	Sus scrofa	7.35	1.406001428	-1.051619921
Browning	Axis axis	7.35	0.478910525	-0.220530765
Browning	Axis axis	7.35	-1.446785461	-0.791762165
Browning	Axis axis	7.35	1.019951068	-0.23114096
Browning	Axis axis	7.35	1.021510845	-0.176665403
Browning	Axis axis	7.35	-2.069030729	1.613107669
Browning	Axis axis	7.35	1.023715436	0.789098497
Browning	Sus scrofa	7.35	1.105200632	0.280481613
Browning	Rhinoceros unicornis	7.35	-0.361104192	-0.775029476
Browning	Panthera tigris	7.35	-0.270945623	0.461196807
Browning	Muntiacus muntjak	7.35	0.968066557	-0.529171303
Browning	Rhinoceros unicornis	7.35	-1.29519878	0.186159666
Browning	Axis porcinus	7.35	0.749355878	-0.11647453
Browning	Muntiacus muntjak	7.35	1.929234504	0.388370047
Browning	Axis porcinus	7.35	-0.846155453	-0.662129577
Browning	Rhinoceros unicornis	7.35	-0.391836464	0.193037081
Browning	Muntiacus muntjak	7.35	-0.950440423	-0.075248132
Browning	Muntiacus muntjak	7.35	0.760698103	1.394360004
Browning	Muntiacus muntjak	7.35	-1.029531101	0.246818557
Browning	Macaca mulatta	7	-0.537336058	0.362413184
Browning	Semnopithecus schistaceus	7	-1.16655568	-0.903235393
Browning	Sus scrofa	7	-3.168350864	0.000914651
Browning	Sus scrofa	7	0.073172075	1.061909744
